Unnamed: 0,index,time,label,start,start_act,end_act,h,n_obs,start_flag,n_obs_flag,model,pi,score,mape,rmse,coverage,success
0.0,1,2024-03-10 05:57:12,2024-02-07,2024-02-07,2024-02-07,2024-02-07 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0118302414121898,7089.396532231936,1.0,True
1.0,2,2024-03-10 05:57:24,2024-02-08,2024-02-08 00:00:00,2024-02-08,2024-02-08 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0152552387403485,8695.98396774426,1.0,True
2.0,3,2024-03-10 05:57:34,2024-02-09,2024-02-09 00:00:00,2024-02-09,2024-02-09 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0298113621072944,15521.75361057989,1.0,True
3.0,4,2024-03-10 05:57:44,2024-02-10,2024-02-10 00:00:00,2024-02-10,2024-02-10 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0569142553482146,25564.705978972524,0.8333333333333334,True
4.0,5,2024-03-10 05:57:54,2024-02-11,2024-02-11 00:00:00,2024-02-11,2024-02-11 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0265931276462706,11973.702758687576,1.0,True
5.0,6,2024-03-10 05:58:04,2024-02-12,2024-02-12 00:00:00,2024-02-12,2024-02-12 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0407838588919988,23059.78350901745,1.0,True
6.0,7,2024-03-10 05:58:14,2024-02-13,2024-02-13 00:00:00,2024-02-13,2024-02-13 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0360443051470982,18880.12430308093,1.0,True
7.0,8,2024-03-10 05:58:25,2024-02-14,2024-02-14 00:00:00,2024-02-14,2024-02-14 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0136542969615468,7681.508939795594,1.0,True
8.0,9,2024-03-10 05:58:36,2024-02-15,2024-02-15 00:00:00,2024-02-15,2024-02-15 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.0111058767628285,6348.646154115765,1.0,True
9.0,10,2024-03-10 05:58:47,2024-02-16,2024-02-16 00:00:00,2024-02-16,2024-02-16 23:00:00,24,24,True,True,LinearRegressionModel,0.95,True,0.018703002535135,9655.652665051224,1.0,True
