index,respondent,respondent_type,time,start,end,start_act,end_act,start_match,end_match,n_obs,na,type,update,success,comments,offset
1,US48,Demand,2024-06-04 09:09:29.847003,2015-07-01 05:00:00,2024-06-03 01:00:00,2015-07-01 05:00:00,2024-06-03 01:00:00,True,True,78237.0,0.0,backfill,True,True,Initial data backfill,
2,US48,Demand,2024-06-04 09:13:35.486793,2024-06-03 02:00:00,2024-06-04 00:00:00,2024-05-27 02:00:00,2024-06-04 00:00:00,True,True,191.0,0.0,refresh,True,True,Offset the start argument by168; The end argument does not match the last data point timestamp; ,168.0
3,US48,Demand,2024-06-04 10:11:44.473285,2024-06-04 01:00:00,2024-06-04 01:00:00,,,,,,,refresh,False,False,No new data is available; ,168.0
4,US48,Demand,2024-06-04 11:10:51.547354,2024-06-04 01:00:00,2024-06-04 02:00:00,2024-05-28 01:00:00,2024-06-04 02:00:00,True,True,170.0,0.0,refresh,True,True,Offset the start argument by168; The end argument does not match the last data point timestamp; ,168.0
5,US48,Demand,2024-06-04 12:20:08.853848,2024-06-04 03:00:00,2024-06-04 03:00:00,,,,,,,refresh,False,False,No new data is available; ,168.0
6,US48,Demand,2024-06-04 13:13:27.580243,2024-06-04 03:00:00,2024-06-04 03:00:00,,,,,,,refresh,False,False,No new data is available; ,168.0
7,US48,Demand,2024-06-04 14:11:05.642034,2024-06-04 03:00:00,2024-06-04 23:00:00,2024-05-28 03:00:00,2024-06-04 11:00:00,True,False,177.0,0.0,refresh,True,True,Offset the start argument by168; ,168.0
8,US48,Demand,2024-06-04 15:12:08.108327,2024-06-04 12:00:00,2024-06-04 23:00:00,2024-05-28 12:00:00,2024-06-04 14:00:00,True,False,171.0,0.0,refresh,True,True,Offset the start argument by168; ,168.0
9,US48,Demand,2024-06-04 16:14:20.455581,2024-06-04 15:00:00,2024-06-04 23:00:00,2024-05-28 15:00:00,2024-06-04 15:00:00,True,False,169.0,0.0,refresh,True,True,Offset the start argument by168; ,168.0
10,US48,Demand,2024-06-04 17:10:30.755251,2024-06-04 16:00:00,2024-06-04 23:00:00,2024-05-28 16:00:00,2024-06-04 16:00:00,True,False,169.0,0.0,refresh,True,True,Offset the start argument by168; ,168.0
11,US48,Demand,2024-06-04 18:14:45.830771,2024-06-04 17:00:00,2024-06-04 23:00:00,2024-05-28 17:00:00,2024-06-04 17:00:00,True,False,169.0,0.0,refresh,True,True,Offset the start argument by168; ,168.0
